accuracy,loss,val_accuracy,val_loss,learning_rate
0.6546071171760559,0.9270249605178833,0.7465346455574036,0.6655636429786682,0.0010000000474974513
0.7037874460220337,0.777772843837738,0.7544554471969604,0.6225002408027649,0.0010000000474974513
0.7207461595535278,0.7684049606323242,0.7683168053627014,0.5764313340187073,0.0010000000474974513
0.7512719035148621,0.6727333068847656,0.7980198264122009,0.5392313599586487,0.0010000000474974513
0.7597512602806091,0.6538769006729126,0.7782177925109863,0.5636733174324036,0.0010000000474974513
0.7772753238677979,0.6040509939193726,0.7861385941505432,0.5262105464935303,0.0010000000474974513
0.7880158424377441,0.578707218170166,0.7940593957901001,0.5044111013412476,0.0010000000474974513
0.79988694190979,0.542018473148346,0.8079208135604858,0.49944809079170227,0.0010000000474974513
0.8134539127349854,0.502383828163147,0.8079208135604858,0.5131994485855103,0.0010000000474974513
0.8111927509307861,0.505031406879425,0.7980198264122009,0.5059890747070312,0.0010000000474974513
0.8309779763221741,0.46505892276763916,0.8316831588745117,0.49234387278556824,0.0010000000474974513
0.8383267521858215,0.42070403695106506,0.8257426023483276,0.47452396154403687,0.0010000000474974513
0.8338044285774231,0.45517072081565857,0.8198019862174988,0.5121225714683533,0.0010000000474974513
0.8496325612068176,0.4149642586708069,0.8277227878570557,0.4667353332042694,0.0010000000474974513
0.8541548848152161,0.38668522238731384,0.8316831588745117,0.4628443121910095,0.0010000000474974513
0.8552854657173157,0.4034462869167328,0.8217821717262268,0.49218055605888367,0.0010000000474974513
0.8694177269935608,0.371107816696167,0.8376237750053406,0.46548599004745483,0.0010000000474974513
0.8756359815597534,0.3589200973510742,0.8297029733657837,0.44843319058418274,0.0010000000474974513
0.8620689511299133,0.36766278743743896,0.8277227878570557,0.4815817177295685,0.0010000000474974513
0.8620689511299133,0.3762178122997284,0.8376237750053406,0.4388633072376251,0.0010000000474974513
0.8875070810317993,0.32254645228385925,0.8356435894966125,0.49489834904670715,0.0010000000474974513
0.8711135983467102,0.3658943474292755,0.8297029733657837,0.4826240837574005,0.0010000000474974513
0.8807235956192017,0.3167506754398346,0.8376237750053406,0.47884154319763184,0.0010000000474974513
0.8812888860702515,0.3299711346626282,0.8475247621536255,0.46598440408706665,0.0010000000474974513
0.8750706911087036,0.3335433602333069,0.8415841460227966,0.43584564328193665,0.0010000000474974513
0.8920294046401978,0.3008280098438263,0.8633663654327393,0.4322706162929535,0.0010000000474974513
0.8982475996017456,0.27402010560035706,0.8455445766448975,0.4669976532459259,0.0010000000474974513
0.9016393423080444,0.30074062943458557,0.8336633443832397,0.489279568195343,0.0010000000474974513
0.8954211473464966,0.29570502042770386,0.8435643315315247,0.43983954191207886,0.0010000000474974513
0.8937252759933472,0.27423277497291565,0.8356435894966125,0.5094988346099854,0.0010000000474974513
